game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-359,ORL,,CLE,W (+9),1,28:06,7,13,.538,2,4,.500,0,2,.000,1,2,3,4,1,1,3,3,16,10.5,-10
2,2019-10-26,26-362,ORL,@,ATL,L (-4),1,29:42,8,18,.444,1,6,.167,6,7,.857,0,3,3,2,1,0,2,2,23,13.7,-12
3,2019-10-28,26-364,ORL,@,TOR,L (-9),1,28:52,7,15,.467,1,7,.143,3,3,1.000,0,4,4,2,0,0,2,2,18,10.1,-11
4,2019-10-30,27-001,ORL,,NYK,W (+12),1,28:09,5,12,.417,2,4,.500,2,2,1.000,0,3,3,3,1,0,1,0,14,10.6,+23
5,2019-11-01,27-003,ORL,,MIL,L (-32),1,21:32,7,12,.583,4,8,.500,1,1,1.000,0,4,4,1,1,0,4,2,19,11.5,-4
6,2019-11-02,27-004,ORL,,DEN,L (-4),1,27:05,5,12,.417,1,5,.200,0,0,,0,2,2,5,0,0,2,1,11,6.3,-2
7,2019-11-05,27-007,ORL,@,OKC,L (-8),1,32:55,0,7,.000,0,2,.000,4,4,1.000,0,5,5,1,2,0,3,2,4,-0.5,-13
8,2019-11-06,27-008,ORL,@,DAL,L (-1),1,27:41,3,5,.600,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,6,9,4.0,+12
9,2019-11-08,27-010,ORL,,MEM,W (+32),1,27:12,7,13,.538,2,4,.500,3,3,1.000,0,7,7,6,0,1,0,3,19,18.5,+25
10,2019-11-10,27-012,ORL,,IND,L (-7),1,30:21,7,13,.538,6,8,.750,2,2,1.000,0,3,3,6,0,1,1,4,22,18.9,+1
