game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-054,ORL,,CLE,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,23-057,ORL,@,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-059,ORL,@,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-061,ORL,,NYK,W (+12),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,23-063,ORL,,MIL,L (-32),0,5:36,1,5,.200,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-0.4,-2
,2019-11-02,23-064,ORL,,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,23-067,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-068,ORL,@,DAL,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-070,ORL,,MEM,W (+32),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,23-072,ORL,,IND,L (-7),,,,,,,,,,,,,,,,,,,,,,
