game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-356,DET,@,IND,W (+9),0,1:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
2,2019-10-24,28-357,DET,,ATL,L (-17),0,10:13,2,5,.400,1,4,.250,2,2,1.000,0,0,0,1,0,0,0,3,7,3.8,-10
3,2019-10-26,28-359,DET,,PHI,L (-6),1,21:16,2,6,.333,1,2,.500,1,2,.500,0,2,2,4,2,0,4,4,6,2.0,-3
4,2019-10-28,28-361,DET,,IND,W (+2),1,21:54,0,4,.000,0,1,.000,2,2,1.000,1,1,2,8,0,0,0,3,2,4.6,+3
5,2019-10-30,28-363,DET,@,TOR,L (-12),1,21:48,3,8,.375,1,3,.333,0,0,,0,1,1,5,1,0,2,3,7,4.2,-5
6,2019-11-01,29-000,DET,@,CHI,L (-6),1,16:48,1,7,.143,0,0,,1,2,.500,1,1,2,2,2,0,0,1,3,2.1,-18
,2019-11-02,29-001,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,29-003,DET,@,WAS,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,29-005,DET,,NYK,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,29-007,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-11,29-010,DET,,MIN,L (-6),0,10:12,0,3,.000,0,2,.000,0,0,,1,0,1,4,1,0,1,1,0,1.0,+2
