game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-147,ORL,,CLE,W (+9),0,23:26,6,12,.500,0,3,.000,0,0,,0,0,0,6,2,0,3,1,12,8.8,+3
2,2019-10-26,21-150,ORL,@,ATL,L (-4),0,24:19,4,11,.364,2,6,.333,2,2,1.000,2,1,3,3,0,0,0,4,12,8.1,+10
3,2019-10-28,21-152,ORL,@,TOR,L (-9),0,26:40,6,11,.545,1,4,.250,0,0,,1,1,2,5,0,0,3,3,13,8.0,0
4,2019-10-30,21-154,ORL,,NYK,W (+12),0,20:08,3,6,.500,0,1,.000,1,2,.500,0,1,1,1,1,0,2,3,7,2.4,-5
5,2019-11-01,21-156,ORL,,MIL,L (-32),0,19:19,2,6,.333,0,1,.000,1,2,.500,1,3,4,3,0,0,1,1,5,3.5,-13
6,2019-11-02,21-157,ORL,,DEN,L (-4),1,24:55,4,7,.571,0,1,.000,1,1,1.000,0,1,1,2,3,0,1,2,9,8.6,0
7,2019-11-05,21-160,ORL,@,OKC,L (-8),1,23:53,5,10,.500,1,2,.500,2,2,1.000,2,1,3,4,1,0,2,3,13,10.3,-14
8,2019-11-06,21-161,ORL,@,DAL,L (-1),1,24:23,5,10,.500,0,2,.000,1,1,1.000,0,2,2,2,3,0,2,5,11,7.0,+9
9,2019-11-08,21-163,ORL,,MEM,W (+32),1,23:22,2,7,.286,0,1,.000,3,4,.750,0,2,2,1,2,2,3,0,7,4.2,+23
10,2019-11-10,21-165,ORL,,IND,L (-7),1,24:24,4,7,.571,0,1,.000,0,0,,0,2,2,4,1,0,0,0,8,9.1,+5
