game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,21-022,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,21-024,CHI,@,MEM,W (+8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,21-025,CHI,,TOR,L (-24),0,2:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3
,2019-10-28,21-027,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,21-029,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,21-031,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,21-033,CHI,@,IND,L (-13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,21-035,CHI,,LAL,L (-6),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-06,21-036,CHI,@,ATL,W (+20),0,3:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
3,2019-11-09,21-039,CHI,,HOU,L (-23),0,4:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
