game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-076,OKC,@,UTA,L (-5),1,28:21,7,13,.538,2,5,.400,5,5,1.000,0,7,7,2,1,0,1,2,21,17.4,+7
2,2019-10-25,31-078,OKC,,WAS,L (-12),1,29:44,6,10,.600,2,3,.667,4,4,1.000,0,5,5,2,1,0,1,1,18,15.9,0
3,2019-10-27,31-080,OKC,,GSW,W (+28),1,21:41,5,11,.455,4,9,.444,7,7,1.000,0,1,1,0,0,1,3,1,21,12.9,+22
4,2019-10-28,31-081,OKC,@,HOU,L (-4),1,34:53,6,17,.353,2,7,.286,3,3,1.000,1,5,6,3,0,0,1,2,17,10.0,-1
5,2019-10-30,31-083,OKC,,POR,L (-3),1,30:30,5,15,.333,3,9,.333,2,2,1.000,1,5,6,1,0,0,1,2,15,7.6,+10
6,2019-11-02,31-086,OKC,,NOP,W (+11),1,29:15,5,9,.556,4,6,.667,2,2,1.000,0,4,4,0,1,0,0,2,16,13.1,+5
7,2019-11-05,31-089,OKC,,ORL,W (+8),1,26:18,6,17,.353,3,10,.300,1,2,.500,0,4,4,2,1,0,2,3,16,6.5,+4
8,2019-11-07,31-091,OKC,@,SAS,L (-9),1,32:10,7,10,.700,5,6,.833,8,9,.889,0,5,5,1,2,0,1,1,27,25.2,-13
9,2019-11-09,31-093,OKC,,GSW,W (+6),1,30:27,6,11,.545,4,6,.667,5,6,.833,1,4,5,3,0,0,1,1,21,17.9,+4
10,2019-11-10,31-094,OKC,,MIL,L (-2),1,29:47,4,17,.235,2,10,.200,4,5,.800,1,6,7,3,2,0,0,3,14,8.7,-1
