game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-318,DET,@,IND,W (+9),0,20:01,2,4,.500,1,1,1.000,0,0,,1,3,4,0,1,1,3,1,5,2.9,+11
2,2019-10-24,27-319,DET,,ATL,L (-17),0,25:51,2,9,.222,2,7,.286,2,2,1.000,0,3,3,3,1,1,1,1,8,5.8,-2
3,2019-10-26,27-321,DET,,PHI,L (-6),0,25:47,2,3,.667,1,1,1.000,4,6,.667,0,2,2,2,0,0,0,1,9,8.5,-6
4,2019-10-28,27-323,DET,,IND,W (+2),0,16:22,2,9,.222,0,3,.000,2,2,1.000,0,2,2,0,1,0,0,1,6,1.7,0
5,2019-10-30,27-325,DET,@,TOR,L (-12),0,26:29,3,7,.429,3,5,.600,8,8,1.000,0,1,1,1,1,0,1,0,17,14.3,0
6,2019-11-01,27-327,DET,@,CHI,L (-6),0,22:31,4,10,.400,2,6,.333,1,1,1.000,1,1,2,2,1,0,0,0,11,9.0,+14
7,2019-11-02,27-328,DET,,BRK,W (+4),0,27:37,4,8,.500,2,4,.500,2,2,1.000,0,3,3,1,1,0,0,4,12,9.0,+5
8,2019-11-04,27-330,DET,@,WAS,L (-16),0,22:04,4,8,.500,2,4,.500,0,0,,0,0,0,1,0,1,0,0,10,7.4,+1
9,2019-11-06,27-332,DET,,NYK,W (+20),0,23:14,3,7,.429,1,3,.333,6,6,1.000,0,2,2,6,1,0,0,0,13,15.1,+20
10,2019-11-08,27-334,DET,@,IND,L (-6),0,31:14,5,11,.455,3,6,.500,6,6,1.000,1,2,3,3,0,1,0,2,19,16.6,-7
11,2019-11-11,27-337,DET,,MIN,L (-6),0,24:53,7,11,.636,4,6,.667,0,1,.000,0,1,1,2,0,1,1,2,18,13.3,-8
