game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,34-266,TOR,,NOP,W (+8),1,31:55,2,9,.222,1,4,.250,1,1,1.000,1,3,4,1,0,0,0,5,6,0.8,-2
2,2019-10-25,34-269,TOR,@,BOS,L (-6),1,25:12,0,8,.000,0,4,.000,1,2,.500,1,4,5,5,0,0,3,2,1,-3.4,+3
3,2019-10-26,34-270,TOR,@,CHI,W (+24),1,23:10,1,2,.500,1,1,1.000,2,2,1.000,2,8,10,2,0,1,0,2,5,9.1,+26
4,2019-10-28,34-272,TOR,,ORL,W (+9),1,25:56,4,7,.571,2,3,.667,0,0,,2,8,10,0,0,0,2,4,10,6.9,+16
5,2019-10-30,34-274,TOR,,DET,W (+12),1,14:46,2,3,.667,1,1,1.000,1,1,1.000,0,4,4,2,0,0,1,3,6,5.1,+11
6,2019-11-02,34-277,TOR,@,MIL,L (-10),1,33:50,4,12,.333,2,6,.333,0,0,,0,12,12,3,0,1,2,5,10,5.6,-6
7,2019-11-06,34-281,TOR,,SAC,W (+4),1,24:26,4,6,.667,1,2,.500,3,4,.750,1,3,4,2,1,0,2,2,12,10.2,+6
8,2019-11-08,34-283,TOR,@,NOP,W (+18),1,29:15,1,6,.167,1,3,.333,2,2,1.000,0,7,7,1,1,1,3,4,5,1.1,+17
9,2019-11-10,34-285,TOR,@,LAL,W (+9),1,33:01,1,2,.500,0,1,.000,0,0,,1,6,7,2,0,0,3,2,2,1.1,+7
10,2019-11-11,34-286,TOR,@,LAC,L (-10),1,33:01,3,8,.375,2,4,.500,0,0,,0,5,5,5,1,2,3,2,8,7.2,-2
