game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,33-067,SAS,,NYK,W (+9),0,20:18,4,9,.444,0,4,.000,5,5,1.000,1,5,6,3,1,1,3,1,13,10.9,+3
2,2019-10-26,33-070,SAS,,WAS,W (+2),0,27:04,4,9,.444,0,3,.000,0,0,,3,6,9,4,1,0,0,4,8,9.4,-1
3,2019-10-28,33-072,SAS,,POR,W (+3),0,19:51,2,4,.500,1,3,.333,3,4,.750,1,3,4,1,0,2,3,0,8,6.3,+14
4,2019-10-31,33-075,SAS,@,LAC,L (-6),0,26:06,3,10,.300,1,4,.250,2,4,.500,2,10,12,4,0,0,1,1,9,8.2,-3
5,2019-11-01,33-076,SAS,@,GSW,W (+17),0,17:52,7,9,.778,2,3,.667,0,0,,1,5,6,1,0,0,1,1,16,14.0,+17
6,2019-11-03,33-078,SAS,,LAL,L (-7),0,26:55,6,13,.462,3,7,.429,1,2,.500,2,8,10,3,0,0,2,1,16,12.4,+6
7,2019-11-05,33-080,SAS,@,ATL,L (-8),0,26:04,3,10,.300,0,4,.000,2,2,1.000,2,4,6,2,1,0,2,1,8,4.8,0
8,2019-11-07,33-082,SAS,,OKC,W (+9),0,20:19,2,4,.500,0,1,.000,2,2,1.000,1,1,2,1,0,1,1,2,6,4.6,+3
9,2019-11-09,33-084,SAS,,BOS,L (-20),0,14:57,3,6,.500,0,1,.000,0,0,,4,3,7,1,0,0,1,0,6,6.4,-2
10,2019-11-11,33-086,SAS,,MEM,L (-4),0,27:09,6,9,.667,3,4,.750,3,3,1.000,2,6,8,2,0,1,1,3,18,17.2,-4
