game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,34-121,NYK,@,SAS,L (-9),0,14:55,1,5,.200,0,1,.000,0,0,,2,2,4,0,0,0,2,2,2,-1.9,-4
2,2019-10-25,34-123,NYK,@,BRK,L (-4),0,13:59,1,2,.500,0,0,,0,0,,1,3,4,2,1,0,1,2,2,3.2,-2
3,2019-10-26,34-124,NYK,,BOS,L (-23),0,5:12,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-4
4,2019-10-28,34-126,NYK,,CHI,W (+7),0,6:40,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-1
5,2019-10-30,34-128,NYK,@,ORL,L (-12),0,8:44,2,4,.500,0,0,,0,0,,0,1,1,0,0,1,1,1,4,1.6,+2
,2019-11-01,34-130,NYK,@,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,34-132,NYK,,SAC,L (-21),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-06,34-135,NYK,@,DET,L (-20),0,21:37,3,4,.750,0,0,,0,0,,0,4,4,4,0,0,0,3,6,7.2,-6
7,2019-11-08,34-137,NYK,@,DAL,W (+4),1,27:41,5,6,.833,0,0,,2,4,.500,4,4,8,1,1,0,1,5,12,11.7,-5
8,2019-11-10,34-139,NYK,,CLE,L (-21),1,17:09,2,6,.333,0,0,,0,0,,4,1,5,2,2,0,3,4,4,2.5,-16
