game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-103,OKC,@,UTA,L (-5),1,36:46,10,23,.435,3,7,.429,3,6,.500,0,2,2,1,1,0,1,2,26,13.2,-12
2,2019-10-25,21-105,OKC,,WAS,L (-12),1,36:04,10,17,.588,2,4,.500,6,8,.750,0,7,7,4,2,3,2,2,28,25.5,-1
3,2019-10-27,21-107,OKC,,GSW,W (+28),1,29:40,8,14,.571,1,5,.200,2,4,.500,0,9,9,4,0,2,3,1,19,15.1,+27
4,2019-10-28,21-108,OKC,@,HOU,L (-4),1,35:55,8,21,.381,2,6,.333,4,4,1.000,3,6,9,4,0,0,0,2,22,16.4,+4
5,2019-10-30,21-110,OKC,,POR,L (-3),1,35:47,3,13,.231,0,2,.000,7,10,.700,3,5,8,3,1,0,4,2,13,5.8,-12
6,2019-11-02,21-113,OKC,,NOP,W (+11),1,35:31,8,14,.571,3,5,.600,4,5,.800,1,7,8,4,0,1,1,0,23,21.3,+12
7,2019-11-05,21-116,OKC,,ORL,W (+8),1,35:56,9,14,.643,3,5,.600,3,4,.750,0,3,3,2,1,1,1,1,24,20.0,+14
8,2019-11-07,21-118,OKC,@,SAS,L (-9),1,34:01,9,18,.500,0,1,.000,3,3,1.000,0,1,1,3,0,0,2,1,21,12.0,-9
9,2019-11-09,21-120,OKC,,GSW,W (+6),1,36:33,6,15,.400,0,3,.000,0,0,,1,4,5,3,0,0,3,2,12,4.1,-2
10,2019-11-10,21-121,OKC,,MIL,L (-2),1,36:48,9,19,.474,4,6,.667,0,0,,1,5,6,6,2,0,2,1,22,18.3,-8
