game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-119,UTA,,OKC,W (+5),1,37:55,3,6,.500,0,0,,1,3,.333,3,11,14,0,0,1,4,5,7,3.3,+13
2,2019-10-25,27-121,UTA,@,LAL,L (-9),1,32:24,4,8,.500,0,0,,0,1,.000,0,9,9,3,2,0,3,3,8,6.2,-2
3,2019-10-26,27-122,UTA,,SAC,W (+32),1,25:03,3,3,1.000,0,0,,0,0,,1,5,6,2,0,1,4,3,6,4.2,+16
4,2019-10-28,27-124,UTA,@,PHO,W (+1),1,35:32,2,4,.500,0,0,,11,12,.917,2,16,18,1,3,1,5,3,15,17.0,+13
5,2019-10-30,27-126,UTA,,LAC,W (+14),1,32:38,5,7,.714,0,0,,3,8,.375,0,7,7,0,1,2,1,3,13,10.4,+3
6,2019-11-01,27-128,UTA,@,SAC,L (-1),1,38:00,5,6,.833,0,0,,5,7,.714,5,11,16,0,1,3,3,2,15,18.1,-7
7,2019-11-03,27-130,UTA,@,LAC,L (-11),1,34:03,4,8,.500,0,0,,4,6,.667,2,12,14,0,0,0,0,4,12,10.6,+3
8,2019-11-06,27-133,UTA,,PHI,W (+2),1,36:08,4,8,.500,0,0,,6,8,.750,4,12,16,3,3,1,0,6,14,19.0,+9
9,2019-11-08,27-135,UTA,,MIL,W (+3),1,36:31,1,2,.500,0,0,,6,10,.600,3,14,17,0,0,1,3,5,8,7.4,+4
10,2019-11-11,27-138,UTA,@,GSW,W (+14),1,34:30,11,12,.917,0,0,,3,9,.333,2,12,14,1,1,2,0,3,25,25.5,+15
