game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,30-303,HOU,,MIL,L (-6),0,27:37,4,19,.211,3,12,.250,0,1,.000,0,1,1,0,0,0,1,1,11,-2.2,-22
2,2019-10-26,30-305,HOU,,NOP,W (+3),0,36:10,5,13,.385,2,9,.222,1,1,1.000,0,2,2,1,1,0,0,2,13,7.4,0
3,2019-10-28,30-307,HOU,,OKC,W (+4),0,36:35,4,11,.364,1,7,.143,1,1,1.000,1,0,1,2,1,0,0,3,10,5.8,-9
4,2019-10-30,30-309,HOU,@,WAS,W (+1),0,30:29,5,13,.385,5,13,.385,0,0,,1,0,1,1,0,0,1,4,15,6.7,+1
5,2019-11-01,30-311,HOU,@,BRK,L (-7),0,28:30,0,7,.000,0,5,.000,3,4,.750,0,1,1,1,1,0,0,1,3,-0.7,+7
6,2019-11-03,30-313,HOU,@,MIA,L (-29),1,22:38,2,10,.200,0,5,.000,0,0,,0,1,1,0,1,1,2,1,4,-2.6,-23
7,2019-11-04,30-314,HOU,@,MEM,W (+7),1,32:12,5,17,.294,3,9,.333,3,5,.600,0,5,5,1,1,0,2,4,16,4.9,-1
,2019-11-06,30-316,HOU,,GSW,W (+17),,,,,,,,,,,,,,,,,,,,,,
8,2019-11-09,30-319,HOU,@,CHI,W (+23),0,21:12,3,9,.333,3,7,.429,0,0,,0,2,2,0,0,0,4,3,9,-0.7,+8
9,2019-11-11,30-321,HOU,@,NOP,W (+6),0,29:33,6,11,.545,4,7,.571,1,2,.500,1,2,3,1,0,1,2,2,17,11.2,+1
