game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-243,CHO,,CHI,W (+1),0,27:19,7,9,.778,6,7,.857,3,3,1.000,1,3,4,8,0,0,1,3,23,24.5,+14
2,2019-10-25,24-245,CHO,,MIN,L (-22),0,27:56,8,15,.533,6,9,.667,2,4,.500,0,2,2,4,0,0,3,3,24,15.1,-26
3,2019-10-27,24-247,CHO,@,LAL,L (-19),0,27:31,1,13,.077,1,6,.167,6,6,1.000,1,2,3,5,0,0,1,1,9,3.7,-11
4,2019-10-28,24-248,CHO,@,LAC,L (-15),0,31:58,5,11,.455,2,6,.333,2,2,1.000,0,1,1,12,0,1,3,2,14,13.9,+3
5,2019-10-30,24-250,CHO,@,SAC,W (+7),0,30:38,4,7,.571,2,5,.400,2,2,1.000,0,5,5,9,0,0,3,1,12,13.1,+3
6,2019-11-02,24-253,CHO,@,GSW,W (+6),0,30:40,1,8,.125,0,3,.000,2,2,1.000,2,6,8,3,1,0,5,0,4,0.1,+6
7,2019-11-05,24-256,CHO,,IND,W (+2),0,41:58,10,21,.476,4,9,.444,11,15,.733,0,4,4,6,3,0,2,2,35,28.3,+14
8,2019-11-07,24-258,CHO,,BOS,L (-21),0,30:19,5,14,.357,2,10,.200,3,5,.600,1,3,4,9,2,0,2,3,15,13.1,-12
9,2019-11-09,24-260,CHO,,NOP,L (-5),0,31:09,5,14,.357,4,10,.400,10,13,.769,2,3,5,10,2,0,4,2,24,21.5,+4
10,2019-11-10,24-261,CHO,@,PHI,L (-8),0,33:39,6,15,.400,4,8,.500,3,4,.750,0,0,0,10,1,0,2,1,19,16.1,+9
