game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,25-360,MIN,@,BRK,W (+1),1,34:35,4,13,.308,0,3,.000,1,1,1.000,2,4,6,4,1,0,0,2,9,7.1,-5
2,2019-10-25,25-362,MIN,@,CHO,W (+22),1,22:59,4,8,.500,2,3,.667,2,2,1.000,1,1,2,0,0,0,1,1,12,7.6,-7
3,2019-10-27,25-364,MIN,,MIA,W (+7),1,19:56,0,5,.000,0,2,.000,0,0,,1,1,2,2,2,0,0,0,0,0.9,-10
4,2019-10-30,26-002,MIN,@,PHI,L (-22),1,21:00,1,5,.200,0,4,.000,4,4,1.000,0,4,4,0,2,0,1,2,6,4.3,+5
5,2019-11-02,26-005,MIN,@,WAS,W (+22),1,14:16,2,6,.333,0,2,.000,0,0,,0,3,3,1,0,0,0,5,4,0.2,+7
6,2019-11-04,26-007,MIN,,MIL,L (-28),1,22:57,1,5,.200,1,4,.250,0,0,,1,1,2,2,2,0,0,1,3,3.9,-27
7,2019-11-06,26-009,MIN,@,MEM,L (-16),0,31:40,4,9,.444,2,3,.667,0,0,,1,5,6,4,1,1,1,3,10,9.8,-21
8,2019-11-08,26-011,MIN,,GSW,W (+6),1,32:46,4,7,.571,0,1,.000,0,0,,1,2,3,2,2,0,3,1,8,6.0,+1
9,2019-11-10,26-013,MIN,,DEN,L (-2),1,35:01,2,7,.286,0,4,.000,5,6,.833,3,1,4,0,1,0,0,2,9,7.1,+9
10,2019-11-11,26-014,MIN,@,DET,W (+6),1,24:05,6,11,.545,1,3,.333,0,0,,3,3,6,3,0,0,0,5,13,10.8,-6
