game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,29-234,GSW,,LAC,L (-19),1,28:25,3,6,.500,1,2,.500,4,4,1.000,0,4,4,3,1,0,0,3,11,11.1,-35
2,2019-10-27,29-237,GSW,@,OKC,L (-28),1,23:57,4,9,.444,1,4,.250,1,1,1.000,0,5,5,2,2,0,1,2,10,8.4,-23
3,2019-10-28,29-238,GSW,@,NOP,W (+11),1,33:53,7,12,.583,0,1,.000,2,3,.667,3,14,17,10,2,0,4,1,16,20.9,+36
4,2019-10-30,29-240,GSW,,PHO,L (-11),1,23:45,2,8,.250,0,2,.000,0,2,.000,0,5,5,4,1,0,1,2,4,1.9,-30
5,2019-11-01,29-242,GSW,,SAS,L (-17),1,34:26,2,7,.286,2,4,.500,0,0,,1,7,8,7,1,0,1,3,6,8.4,-16
,2019-11-02,29-243,GSW,,CHO,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,29-245,GSW,,POR,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,29-247,GSW,@,HOU,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,29-249,GSW,@,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,29-250,GSW,@,OKC,L (-6),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-11,29-252,GSW,,UTA,L (-14),1,22:20,2,7,.286,0,4,.000,0,0,,0,7,7,4,0,0,1,4,4,2.2,-14
