game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,29-123,LAC,,LAL,W (+10),0,19:16,4,8,.500,4,7,.571,0,0,,1,5,6,0,0,0,1,3,12,8.0,+5
2,2019-10-24,29-125,LAC,@,GSW,W (+19),0,15:44,3,4,.750,3,4,.750,0,1,.000,0,1,1,0,0,0,1,3,9,5.1,-8
3,2019-10-26,29-127,LAC,@,PHO,L (-8),0,16:06,4,5,.800,2,2,1.000,3,3,1.000,2,1,3,0,0,0,0,4,13,11.2,+6
4,2019-10-28,29-129,LAC,,CHO,W (+15),0,21:50,1,5,.200,1,4,.250,0,0,,0,2,2,1,1,0,0,5,3,0.2,-8
5,2019-10-30,29-131,LAC,@,UTA,L (-14),0,27:24,8,11,.727,5,6,.833,2,2,1.000,1,7,8,0,0,1,1,3,23,19.8,-12
6,2019-10-31,29-132,LAC,,SAS,W (+6),0,21:38,0,3,.000,0,3,.000,0,0,,0,8,8,0,1,0,0,1,0,0.9,+4
7,2019-11-03,29-135,LAC,,UTA,W (+11),0,23:52,3,7,.429,2,5,.400,4,4,1.000,3,3,6,1,0,1,1,3,12,10.5,+30
8,2019-11-06,29-138,LAC,,MIL,L (-5),0,32:16,3,10,.300,2,7,.286,1,2,.500,1,6,7,0,0,0,1,5,9,2.3,-6
9,2019-11-07,29-139,LAC,,POR,W (+6),0,15:45,0,5,.000,0,3,.000,0,0,,0,10,10,0,0,0,2,0,0,-2.5,-3
10,2019-11-11,29-143,LAC,,TOR,W (+10),0,24:28,3,11,.273,0,5,.000,4,5,.800,5,7,12,1,0,1,2,1,10,7.7,+5
