game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,33-056,UTA,,OKC,W (+5),0,16:34,1,4,.250,1,3,.333,2,4,.500,0,2,2,1,0,1,1,2,5,2.0,-4
2,2019-10-25,33-058,UTA,@,LAL,L (-9),1,23:23,2,7,.286,1,2,.500,0,0,,0,3,3,1,1,0,3,3,5,-0.7,+2
3,2019-10-26,33-059,UTA,,SAC,W (+32),0,18:05,3,5,.600,3,4,.750,0,2,.000,0,3,3,1,0,0,1,1,9,6.1,+1
4,2019-10-28,33-061,UTA,@,PHO,W (+1),0,14:03,2,4,.500,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,2,8,5.1,-7
5,2019-10-30,33-063,UTA,,LAC,W (+14),0,19:28,3,8,.375,2,4,.500,0,0,,0,1,1,0,3,1,0,1,8,7.2,+8
6,2019-11-01,33-065,UTA,@,SAC,L (-1),0,22:36,2,6,.333,2,5,.400,2,2,1.000,0,0,0,1,1,0,2,2,8,3.5,+7
7,2019-11-03,33-067,UTA,@,LAC,L (-11),0,19:04,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,1,0,0,2,0.6,-26
8,2019-11-06,33-070,UTA,,PHI,W (+2),0,18:33,1,6,.167,1,4,.250,0,0,,0,6,6,0,0,0,1,1,3,-0.4,-13
9,2019-11-08,33-072,UTA,,MIL,W (+3),0,15:00,1,6,.167,0,4,.000,0,0,,2,0,2,0,0,0,1,3,2,-2.6,+9
10,2019-11-11,33-075,UTA,@,GSW,W (+14),0,20:45,4,8,.500,2,6,.333,2,2,1.000,0,3,3,1,0,1,1,2,12,8.5,+8
