game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,30-221,DET,@,IND,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,30-222,DET,,ATL,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,30-224,DET,,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,30-226,DET,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,30-228,DET,@,TOR,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,30-230,DET,@,CHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,30-231,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,30-233,DET,@,WAS,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,30-235,DET,,NYK,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,30-237,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-11,30-240,DET,,MIN,L (-6),1,23:58,6,12,.500,1,3,.333,6,8,.750,0,7,7,6,0,0,4,1,19,14.1,+1
