game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-229,MEM,@,MIA,L (-19),0,24:06,4,8,.500,0,3,.000,1,1,1.000,0,2,2,2,0,0,3,1,9,3.6,+6
2,2019-10-25,24-231,MEM,,CHI,L (-8),0,17:05,3,8,.375,1,3,.333,0,0,,2,1,3,1,0,0,2,2,7,2.2,-3
3,2019-10-27,24-233,MEM,,BRK,W (+1),0,5:42,0,1,.000,0,1,.000,2,2,1.000,1,0,1,0,0,0,1,0,2,1.0,+1
4,2019-10-29,24-235,MEM,@,LAL,L (-29),0,22:57,0,5,.000,0,4,.000,0,0,,0,2,2,3,0,1,1,1,0,-1.5,-22
5,2019-11-02,24-239,MEM,,PHO,L (-9),0,12:13,1,3,.333,0,1,.000,0,0,,1,7,8,2,0,0,0,0,2,4.5,0
6,2019-11-04,24-241,MEM,,HOU,L (-7),0,17:10,2,6,.333,0,2,.000,0,0,,0,1,1,0,1,0,3,1,4,-1.5,-13
7,2019-11-06,24-243,MEM,,MIN,W (+16),0,16:28,3,5,.600,1,1,1.000,0,0,,1,3,4,4,0,0,1,1,7,7.7,+9
8,2019-11-08,24-245,MEM,@,ORL,L (-32),0,24:48,2,4,.500,2,3,.667,0,0,,1,2,3,1,0,1,0,2,6,5.9,-16
9,2019-11-09,24-246,MEM,,DAL,L (-16),0,28:11,5,9,.556,1,2,.500,3,3,1.000,1,2,3,4,2,0,1,0,14,14.8,-4
10,2019-11-11,24-248,MEM,@,SAS,W (+4),0,12:05,2,3,.667,1,1,1.000,0,0,,0,0,0,4,0,0,0,1,5,6.1,+7
