game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,26-164,LAC,,LAL,W (+10),0,29:10,4,7,.571,2,3,.667,0,0,,2,2,4,0,4,2,0,5,10,12.1,+7
2,2019-10-24,26-166,LAC,@,GSW,W (+19),0,24:16,5,7,.714,0,2,.000,0,0,,1,1,2,3,1,1,2,3,10,8.7,+2
3,2019-10-26,26-168,LAC,@,PHO,L (-8),0,18:13,1,4,.250,0,1,.000,0,0,,0,1,1,0,2,0,0,5,2,-0.1,+5
4,2019-10-28,26-170,LAC,,CHO,W (+15),0,18:36,2,3,.667,1,2,.500,0,0,,0,5,5,0,1,0,2,3,5,3.0,-6
5,2019-10-30,26-172,LAC,@,UTA,L (-14),0,17:03,1,3,.333,0,1,.000,0,0,,0,2,2,2,0,0,0,1,2,1.9,-12
6,2019-10-31,26-173,LAC,,SAS,W (+6),0,19:58,3,3,1.000,0,0,,2,4,.500,1,2,3,0,2,0,1,5,8,6.6,+1
7,2019-11-03,26-176,LAC,,UTA,W (+11),0,17:51,1,4,.250,0,0,,0,0,,0,4,4,1,1,0,1,5,2,-0.5,+7
8,2019-11-06,26-179,LAC,,MIL,L (-5),0,15:57,0,4,.000,0,1,.000,1,2,.500,1,2,3,0,0,1,2,4,1,-3.8,-10
9,2019-11-07,26-180,LAC,,POR,W (+6),0,19:09,4,4,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,8,6.8,-4
10,2019-11-11,26-184,LAC,,TOR,W (+10),0,32:32,3,9,.333,0,3,.000,3,4,.750,2,2,4,3,0,2,0,5,9,7.0,+14
