game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,25-269,LAC,,LAL,W (+10),0,38:22,7,11,.636,0,0,,3,8,.375,2,5,7,4,1,1,3,3,17,13.3,+15
2,2019-10-24,25-271,LAC,@,GSW,W (+19),0,24:34,8,9,.889,0,0,,2,5,.400,1,5,6,3,0,0,6,3,18,10.8,+1
3,2019-10-26,25-273,LAC,@,PHO,L (-8),0,32:19,9,10,.900,0,0,,10,11,.909,2,5,7,2,1,1,1,0,28,29.2,+4
4,2019-10-28,25-275,LAC,,CHO,W (+15),0,26:16,8,12,.667,0,0,,3,3,1.000,4,3,7,2,2,0,2,3,19,17.7,-4
5,2019-10-30,25-277,LAC,@,UTA,L (-14),0,13:39,5,9,.556,0,0,,0,0,,0,2,2,0,0,1,1,4,10,4.4,-14
6,2019-10-31,25-278,LAC,,SAS,W (+6),0,31:05,9,11,.818,0,0,,6,9,.667,1,3,4,1,0,1,3,4,24,17.1,+3
7,2019-11-03,25-281,LAC,,UTA,W (+11),0,29:32,7,10,.700,0,0,,5,8,.625,6,2,8,2,0,1,1,3,19,18.3,+24
8,2019-11-06,25-284,LAC,,MIL,L (-5),1,39:28,13,25,.520,0,0,,8,12,.667,6,7,13,5,1,1,1,1,34,30.2,+5
9,2019-11-07,25-285,LAC,,POR,W (+6),0,28:02,7,11,.636,0,1,.000,1,2,.500,2,4,6,1,2,3,1,1,15,15.7,+9
10,2019-11-11,25-289,LAC,,TOR,W (+10),0,31:19,7,15,.467,0,1,.000,0,2,.000,3,8,11,2,2,3,2,3,14,12.3,+9
