game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,26-017,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,26-019,CHI,@,MEM,W (+8),0,4:16,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,2.6,-6
2,2019-10-26,26-020,CHI,,TOR,L (-24),0,11:32,1,6,.167,0,0,,3,4,.750,0,2,2,1,0,1,0,2,5,2.0,-10
,2019-10-28,26-022,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,26-024,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,26-026,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-03,26-028,CHI,@,IND,L (-13),0,0:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
4,2019-11-05,26-030,CHI,,LAL,L (-6),0,1:05,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+5
5,2019-11-06,26-031,CHI,@,ATL,W (+20),0,3:42,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,-9
,2019-11-09,26-034,CHI,,HOU,L (-23),,,,,,,,,,,,,,,,,,,,,,
