game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,24-230,NOP,@,TOR,L (-8),0,28:10,4,9,.444,3,5,.600,4,4,1.000,4,6,10,1,0,1,1,4,15,13.7,-1
2,2019-10-25,24-233,NOP,,DAL,L (-7),0,26:25,5,9,.556,1,5,.200,5,6,.833,2,7,9,0,2,0,2,5,16,12.8,-5
3,2019-10-26,24-234,NOP,@,HOU,L (-3),1,33:41,8,17,.471,5,12,.417,2,2,1.000,0,3,3,1,2,1,1,1,23,17.2,-1
4,2019-10-28,24-236,NOP,,GSW,L (-11),1,31:13,4,9,.444,2,5,.400,2,2,1.000,1,3,4,1,1,1,2,3,12,8.1,-19
5,2019-10-31,24-239,NOP,,DEN,W (+15),0,26:52,1,3,.333,1,3,.333,0,0,,1,4,5,1,0,0,1,2,3,2.1,+2
6,2019-11-02,24-241,NOP,@,OKC,L (-11),0,30:03,5,11,.455,2,5,.400,0,0,,3,12,15,3,1,1,1,2,12,14.0,0
7,2019-11-04,24-243,NOP,@,BRK,L (-10),1,30:49,6,13,.462,2,7,.286,0,0,,1,6,7,1,4,0,3,3,14,10.3,-1
8,2019-11-08,24-247,NOP,,TOR,L (-18),0,16:50,1,9,.111,0,6,.000,0,0,,0,2,2,0,0,0,0,2,2,-4.1,-11
9,2019-11-09,24-248,NOP,@,CHO,W (+5),0,23:13,4,5,.800,2,3,.667,0,0,,1,6,7,2,2,0,0,3,10,12.8,+3
10,2019-11-11,24-250,NOP,,HOU,L (-6),1,29:57,5,8,.625,4,6,.667,5,8,.625,0,4,4,4,2,0,3,4,19,15.6,+10
