game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,19-152,NOP,@,TOR,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,19-155,NOP,,DAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,19-156,NOP,@,HOU,L (-3),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-28,19-158,NOP,,GSW,L (-11),0,23:37,9,11,.818,0,1,.000,1,3,.333,1,2,3,1,1,1,0,3,19,16.6,0
2,2019-10-31,19-161,NOP,,DEN,W (+15),0,9:28,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,0,1,4,5,2.0,-4
3,2019-11-02,19-163,NOP,@,OKC,L (-11),0,13:49,2,5,.400,0,0,,0,0,,4,1,5,3,1,0,0,5,4,5.5,-4
4,2019-11-04,19-165,NOP,@,BRK,L (-10),0,16:26,0,3,.000,0,1,.000,3,3,1.000,3,2,5,1,2,0,2,6,3,1.9,+12
5,2019-11-08,19-169,NOP,,TOR,L (-18),0,14:34,2,3,.667,0,0,,0,3,.000,1,5,6,0,0,1,0,1,4,4.0,+5
6,2019-11-09,19-170,NOP,@,CHO,W (+5),0,18:03,3,3,1.000,0,0,,3,4,.750,0,1,1,0,0,2,0,2,9,8.6,-2
7,2019-11-11,19-172,NOP,,HOU,L (-6),0,2:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-5
