game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,25-149,CHO,,CHI,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,25-151,CHO,,MIN,L (-22),0,19:41,3,6,.500,0,0,,0,0,,4,2,6,0,1,1,1,1,6,6.7,-7
2,2019-10-27,25-153,CHO,@,LAL,L (-19),0,2:20,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2
,2019-10-28,25-154,CHO,@,LAC,L (-15),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,25-156,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,25-159,CHO,@,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,25-162,CHO,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-07,25-164,CHO,,BOS,L (-21),0,6:10,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,1,1,0,5,2.7,0
,2019-11-09,25-166,CHO,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,25-167,CHO,@,PHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
