game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-240,POR,,DEN,L (-8),0,18:00,0,3,.000,0,1,.000,2,2,1.000,0,4,4,0,0,0,0,2,2,0.3,-7
2,2019-10-25,24-242,POR,@,SAC,W (+10),0,17:31,2,3,.667,0,1,.000,1,2,.500,0,4,4,0,1,0,2,2,5,2.7,-6
3,2019-10-27,24-244,POR,@,DAL,W (+2),0,24:51,2,7,.286,0,1,.000,0,0,,1,7,8,2,1,1,0,3,4,4.6,+6
4,2019-10-28,24-245,POR,@,SAS,L (-3),0,18:59,2,7,.286,2,5,.400,2,2,1.000,0,6,6,1,1,1,0,2,8,7.3,-11
5,2019-10-30,24-247,POR,@,OKC,W (+3),0,20:13,1,1,1.000,0,0,,0,0,,0,6,6,0,0,0,2,2,2,0.7,+4
6,2019-11-02,24-250,POR,,PHI,L (-1),1,36:36,4,10,.400,2,4,.500,1,2,.500,2,10,12,4,2,0,2,4,11,10.8,+8
7,2019-11-04,24-252,POR,@,GSW,L (-9),0,25:52,4,6,.667,3,5,.600,0,0,,1,4,5,0,1,0,0,6,11,8.9,+6
8,2019-11-07,24-255,POR,@,LAC,L (-6),0,24:42,1,9,.111,0,3,.000,0,0,,1,4,5,0,1,0,1,3,2,-3.2,-16
9,2019-11-08,24-256,POR,,BRK,L (-4),1,19:52,2,9,.222,0,1,.000,2,2,1.000,3,6,9,1,1,0,1,2,6,4.3,-2
10,2019-11-10,24-258,POR,,ATL,W (+11),1,23:38,1,5,.200,0,0,,1,1,1.000,1,1,2,3,2,0,2,1,3,2.6,+16
