game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,33-173,MIL,@,HOU,W (+6),0,30:47,3,7,.429,2,4,.500,0,0,,0,0,0,7,2,0,0,2,8,10.4,+16
2,2019-10-26,33-175,MIL,,MIA,L (-5),0,28:47,2,4,.500,1,3,.333,0,0,,0,2,2,4,1,1,1,6,5,4.7,-18
3,2019-10-28,33-177,MIL,,CLE,W (+17),0,19:22,7,10,.700,1,2,.500,4,7,.571,2,6,8,3,2,0,0,0,19,20.9,+12
4,2019-10-30,33-179,MIL,@,BOS,L (-11),0,20:13,5,9,.556,2,5,.400,0,0,,3,2,5,2,0,0,1,2,12,10.0,-8
5,2019-11-01,33-181,MIL,@,ORL,W (+32),0,15:20,4,6,.667,1,1,1.000,0,1,.000,1,1,2,2,1,0,0,0,9,9.4,+15
6,2019-11-02,33-182,MIL,,TOR,W (+10),0,26:58,2,4,.500,1,2,.500,2,2,1.000,1,1,2,4,0,0,0,1,7,8.4,+8
7,2019-11-04,33-184,MIL,@,MIN,W (+28),0,16:56,2,4,.500,1,1,1.000,2,2,1.000,0,1,1,1,0,0,1,1,7,4.6,+7
8,2019-11-06,33-186,MIL,@,LAC,W (+5),0,24:09,9,14,.643,6,7,.857,0,0,,2,1,3,0,1,0,0,2,24,19.7,+9
9,2019-11-08,33-188,MIL,@,UTA,L (-3),0,22:35,0,2,.000,0,1,.000,2,3,.667,2,1,3,1,2,0,1,1,2,3.2,-6
10,2019-11-10,33-190,MIL,@,OKC,W (+2),0,23:26,3,6,.500,0,0,,2,2,1.000,2,3,5,5,0,0,1,3,8,8.6,-5
