game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,28-219,MEM,@,MIA,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,28-221,MEM,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-27,28-223,MEM,,BRK,W (+1),0,24:20,5,5,1.000,1,1,1.000,2,4,.500,0,5,5,3,0,0,1,1,13,12.9,+9
2,2019-10-29,28-225,MEM,@,LAL,L (-29),0,13:28,2,6,.333,2,4,.500,2,2,1.000,2,2,4,1,2,1,2,2,8,7.2,-2
3,2019-11-02,28-229,MEM,,PHO,L (-9),0,23:19,2,5,.400,1,3,.333,1,2,.500,1,4,5,1,1,0,3,2,6,2.7,-6
4,2019-11-04,28-231,MEM,,HOU,L (-7),0,14:54,1,5,.200,0,2,.000,2,2,1.000,0,0,0,0,0,0,1,3,4,-1.3,-20
5,2019-11-06,28-233,MEM,,MIN,W (+16),0,12:54,3,4,.750,1,2,.500,0,0,,0,1,1,3,1,0,0,0,7,8.8,+4
6,2019-11-08,28-235,MEM,@,ORL,L (-32),0,17:03,2,6,.333,2,4,.500,0,0,,0,2,2,0,0,0,1,2,6,1.4,-9
7,2019-11-09,28-236,MEM,,DAL,L (-16),0,14:39,1,3,.333,1,2,.500,0,2,.000,1,4,5,0,0,0,0,3,3,1.2,-8
8,2019-11-11,28-238,MEM,@,SAS,W (+4),0,13:38,1,2,.500,1,2,.500,0,0,,0,1,1,3,3,0,0,0,3,7.4,-18
