game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-023,IND,,DET,L (-9),0,6:44,0,6,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,2,0,-3.3,-1
,2019-10-26,23-026,IND,@,CLE,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-028,IND,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,23-030,IND,@,BRK,W (+10),0,16:01,1,6,.167,1,2,.500,0,0,,0,1,1,2,0,0,1,2,3,-0.9,-4
3,2019-11-01,23-032,IND,,CLE,W (+7),0,6:21,0,4,.000,0,1,.000,0,0,,0,0,0,1,2,0,0,0,0,-0.1,+8
4,2019-11-03,23-034,IND,,CHI,W (+13),0,17:10,3,6,.500,2,3,.667,1,2,.500,0,2,2,2,1,0,1,1,9,7.2,-2
5,2019-11-05,23-036,IND,@,CHO,L (-2),0,23:16,2,7,.286,2,4,.500,0,0,,0,4,4,4,0,1,1,4,6,4.0,-8
6,2019-11-06,23-037,IND,,WAS,W (+15),1,30:57,7,10,.700,3,5,.600,1,1,1.000,0,2,2,1,0,0,0,1,18,14.7,+15
7,2019-11-08,23-039,IND,,DET,W (+6),1,28:47,2,7,.286,0,2,.000,2,2,1.000,2,4,6,5,2,0,3,0,6,7.0,+9
8,2019-11-10,23-041,IND,@,ORL,W (+7),1,26:34,4,9,.444,3,6,.500,0,0,,1,0,1,3,1,0,1,3,11,7.9,0
