game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,29-132,NOP,@,TOR,L (-8),1,41:05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,5.9,-14
2,2019-10-25,29-135,NOP,,DAL,L (-7),1,33:13,2,11,.182,0,3,.000,4,4,1.000,1,3,4,8,2,0,0,1,8,9.9,-14
,2019-10-26,29-136,NOP,@,HOU,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,29-138,NOP,,GSW,L (-11),,,,,,,,,,,,,,,,,,,,,,
3,2019-10-31,29-141,NOP,,DEN,W (+15),1,31:51,7,17,.412,5,9,.556,0,0,,0,5,5,7,2,0,2,2,19,15.5,+5
4,2019-11-02,29-143,NOP,@,OKC,L (-11),1,34:51,6,15,.400,2,5,.400,2,2,1.000,0,3,3,6,1,0,2,4,16,10.4,-10
5,2019-11-04,29-145,NOP,@,BRK,L (-10),1,34:00,7,17,.412,1,4,.250,0,0,,1,6,7,3,4,2,2,4,15,12.3,-19
6,2019-11-08,29-149,NOP,,TOR,L (-18),1,30:29,6,13,.462,1,4,.250,3,5,.600,1,5,6,6,3,0,2,0,16,15.9,-15
7,2019-11-09,29-150,NOP,@,CHO,W (+5),1,36:15,4,12,.333,0,5,.000,4,4,1.000,1,4,5,11,2,1,4,4,12,11.9,+8
8,2019-11-11,29-152,NOP,,HOU,L (-6),1,38:20,6,21,.286,0,7,.000,6,8,.750,0,9,9,11,1,1,6,3,18,9.8,-5
