game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,24-292,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,24-295,TOR,@,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,24-296,TOR,@,CHI,W (+24),0,3:59,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,+2
,2019-10-28,24-298,TOR,,ORL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,24-300,TOR,,DET,W (+12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,24-303,TOR,@,MIL,L (-10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,24-307,TOR,,SAC,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,24-309,TOR,@,NOP,W (+18),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-10,24-311,TOR,@,LAL,W (+9),0,15:16,4,6,.667,0,0,,2,2,1.000,1,2,3,2,0,0,1,3,10,7.9,+6
3,2019-11-11,24-312,TOR,@,LAC,L (-10),0,28:48,4,11,.364,0,0,,1,2,.500,2,7,9,1,3,1,3,4,9,5.8,-1
