game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-003,POR,,DEN,L (-8),1,31:10,5,10,.500,2,5,.400,1,1,1.000,1,4,5,1,0,0,2,4,13,7.0,+3
2,2019-10-25,27-005,POR,@,SAC,W (+10),1,30:23,3,8,.375,2,4,.500,0,0,,0,4,4,1,1,1,0,1,8,6.8,+9
3,2019-10-27,27-007,POR,@,DAL,W (+2),1,31:41,8,12,.667,3,3,1.000,1,2,.500,2,4,6,0,2,1,2,3,20,16.5,-9
4,2019-10-28,27-008,POR,@,SAS,L (-3),1,33:38,3,7,.429,1,4,.250,4,4,1.000,0,3,3,0,1,1,1,2,11,8.1,+2
5,2019-10-30,27-010,POR,@,OKC,W (+3),1,33:31,3,10,.300,2,5,.400,1,2,.500,0,3,3,0,2,1,1,3,9,4.2,-2
6,2019-11-02,27-013,POR,,PHI,L (-1),1,31:25,9,11,.818,4,6,.667,3,4,.750,0,2,2,1,1,0,1,1,25,21.4,+10
7,2019-11-04,27-015,POR,@,GSW,L (-9),1,35:42,1,8,.125,0,1,.000,2,2,1.000,3,3,6,1,0,0,1,3,4,0.3,-7
8,2019-11-07,27-018,POR,@,LAC,L (-6),1,29:55,2,5,.400,1,3,.333,0,0,,1,4,5,1,1,0,1,4,5,3.3,-13
9,2019-11-08,27-019,POR,,BRK,L (-4),1,6:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-2
,2019-11-10,27-021,POR,,ATL,W (+11),,,,,,,,,,,,,,,,,,,,,,
