game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,26-139,HOU,,MIL,L (-6),1,26:04,2,6,.333,2,4,.500,2,2,1.000,0,2,2,3,1,1,1,2,8,7.2,+10
2,2019-10-26,26-141,HOU,,NOP,W (+3),1,30:06,4,6,.667,4,5,.800,3,3,1.000,1,7,8,0,0,1,0,1,15,15.5,0
3,2019-10-28,26-143,HOU,,OKC,W (+4),1,37:02,3,11,.273,1,8,.125,2,3,.667,0,5,5,0,0,1,0,1,9,3.9,+18
4,2019-10-30,26-145,HOU,@,WAS,W (+1),1,28:38,5,9,.556,4,7,.571,2,2,1.000,3,4,7,1,2,1,1,1,16,17.0,-2
5,2019-11-01,26-147,HOU,@,BRK,L (-7),1,31:41,6,10,.600,3,6,.500,0,0,,1,4,5,0,1,1,1,4,15,11.4,-10
6,2019-11-03,26-149,HOU,@,MIA,L (-29),0,19:29,3,6,.500,1,3,.333,3,5,.600,0,1,1,0,0,1,1,1,10,5.8,-8
7,2019-11-04,26-150,HOU,@,MEM,W (+7),1,36:28,6,15,.400,2,9,.222,1,1,1.000,1,8,9,1,1,3,2,2,15,11.0,+5
8,2019-11-06,26-152,HOU,,GSW,W (+17),1,38:44,6,10,.600,5,6,.833,0,0,,0,6,6,1,0,0,0,4,17,13.3,+33
9,2019-11-09,26-155,HOU,@,CHI,W (+23),1,32:27,3,5,.600,3,5,.600,2,3,.667,1,4,5,1,6,1,4,3,11,12.4,+15
10,2019-11-11,26-157,HOU,@,NOP,W (+6),1,11:43,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,2,2,1.1,-7
