game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-180,CHI,@,CHO,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,23-182,CHI,@,MEM,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,23-183,CHI,,TOR,L (-24),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-185,CHI,@,NYK,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-187,CHI,@,CLE,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-189,CHI,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,23-191,CHI,@,IND,L (-13),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-05,23-193,CHI,,LAL,L (-6),0,14:49,2,2,1.000,1,1,1.000,0,3,.000,0,3,3,0,0,0,1,1,5,2.7,+6
2,2019-11-06,23-194,CHI,@,ATL,W (+20),0,18:40,2,6,.333,0,1,.000,5,7,.714,1,3,4,1,0,0,1,4,9,4.5,+12
3,2019-11-09,23-197,CHI,,HOU,L (-23),1,23:13,6,10,.600,1,2,.500,0,0,,0,4,4,0,2,2,1,4,13,10.4,-14
