game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,30-034,TOR,,NOP,W (+8),0,26:00,4,10,.400,0,1,.000,5,6,.833,2,3,5,0,1,0,3,2,13,6.7,+6
2,2019-10-25,30-037,TOR,@,BOS,L (-6),0,24:14,5,5,1.000,1,1,1.000,2,4,.500,0,8,8,1,0,3,2,3,13,12.7,-10
3,2019-10-26,30-038,TOR,@,CHI,W (+24),0,20:51,8,12,.667,1,2,.500,1,1,1.000,2,5,7,0,0,3,2,3,18,14.6,-4
4,2019-10-28,30-040,TOR,,ORL,W (+9),0,21:33,3,10,.300,1,5,.200,2,2,1.000,1,9,10,0,0,0,4,3,9,1.4,-10
5,2019-10-30,30-042,TOR,,DET,W (+12),0,31:59,9,15,.600,1,2,.500,0,0,,0,6,6,2,2,0,3,3,19,13.1,+7
6,2019-11-02,30-045,TOR,@,MIL,L (-10),0,22:25,3,10,.300,0,1,.000,5,6,.833,1,3,4,1,0,4,1,2,11,8.1,-5
7,2019-11-06,30-049,TOR,,SAC,W (+4),0,23:34,9,16,.563,1,4,.250,2,2,1.000,0,6,6,2,2,0,1,2,21,16.8,-2
8,2019-11-08,30-051,TOR,@,NOP,W (+18),0,12:20,3,6,.500,0,0,,2,2,1.000,1,5,6,0,0,0,1,1,8,5.8,+9
,2019-11-10,30-053,TOR,@,LAL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,30-054,TOR,@,LAC,L (-10),,,,,,,,,,,,,,,,,,,,,,
