game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,32-162,MIL,@,HOU,W (+6),0,20:04,6,8,.750,1,2,.500,0,1,.000,4,7,11,0,0,1,2,5,13,11.0,+2
2,2019-10-26,32-164,MIL,,MIA,L (-5),0,20:28,3,8,.375,2,5,.400,3,3,1.000,1,4,5,1,1,0,0,1,11,9.8,-9
3,2019-10-28,32-166,MIL,,CLE,W (+17),0,19:26,1,5,.200,1,2,.500,0,0,,1,5,6,1,1,0,0,0,3,3.8,+15
4,2019-10-30,32-168,MIL,@,BOS,L (-11),0,15:19,3,4,.750,1,2,.500,0,0,,0,7,7,0,0,0,2,5,7,3.5,-18
5,2019-11-01,32-170,MIL,@,ORL,W (+32),0,16:54,3,7,.429,2,5,.400,2,2,1.000,1,4,5,0,2,0,0,3,10,9.0,+6
6,2019-11-02,32-171,MIL,,TOR,W (+10),0,21:28,1,5,.200,0,3,.000,3,4,.750,0,6,6,2,0,2,0,2,5,5.3,-1
7,2019-11-04,32-173,MIL,@,MIN,W (+28),0,15:57,2,6,.333,1,4,.250,0,0,,1,3,4,0,1,1,1,2,5,3.1,-1
8,2019-11-06,32-175,MIL,@,LAC,W (+5),0,13:54,0,4,.000,0,4,.000,2,2,1.000,2,3,5,0,0,1,0,4,2,0.6,-11
9,2019-11-08,32-177,MIL,@,UTA,L (-3),0,8:15,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-7
10,2019-11-10,32-179,MIL,@,OKC,W (+2),0,16:27,2,3,.667,0,1,.000,0,0,,1,3,4,0,0,0,0,1,4,3.9,-13
