game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,22-050,NOP,@,TOR,L (-8),1,35:06,8,19,.421,2,5,.400,4,4,1.000,0,5,5,5,1,2,2,4,22,15.7,-19
2,2019-10-25,22-053,NOP,,DAL,L (-7),1,31:25,10,20,.500,4,7,.571,1,1,1.000,2,6,8,3,0,3,3,3,25,18.2,-11
3,2019-10-26,22-054,NOP,@,HOU,L (-3),1,38:41,14,22,.636,4,7,.571,3,5,.600,1,14,15,5,0,0,3,3,35,28.6,-1
4,2019-10-28,22-056,NOP,,GSW,L (-11),1,31:04,10,23,.435,4,9,.444,3,5,.600,3,7,10,6,2,1,2,2,27,22.4,-20
5,2019-10-31,22-059,NOP,,DEN,W (+15),1,35:34,7,12,.583,2,4,.500,9,11,.818,0,3,3,5,0,0,3,1,25,19.6,+12
6,2019-11-02,22-061,NOP,@,OKC,L (-11),1,13:10,3,5,.600,0,0,,1,4,.250,1,3,4,1,0,1,1,0,7,5.5,+4
7,2019-11-04,22-063,NOP,@,BRK,L (-10),1,37:02,17,24,.708,1,3,.333,5,5,1.000,0,5,5,5,2,0,4,5,40,31.0,-10
8,2019-11-08,22-067,NOP,,TOR,L (-18),1,31:20,10,25,.400,3,10,.300,4,4,1.000,2,5,7,1,1,1,3,5,27,13.8,-25
9,2019-11-09,22-068,NOP,@,CHO,W (+5),1,35:35,8,12,.667,3,4,.750,6,11,.545,1,8,9,4,1,0,7,4,25,16.1,+4
,2019-11-11,22-070,NOP,,HOU,L (-6),,,,,,,,,,,,,,,,,,,,,,
