game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,22-020,ORL,,CLE,W (+9),1,23:59,1,3,.333,0,1,.000,1,2,.500,1,7,8,2,1,2,2,4,3,3.9,0
2,2019-10-26,22-023,ORL,@,ATL,L (-4),1,25:16,3,10,.300,0,3,.000,2,2,1.000,1,3,4,0,1,4,1,0,8,6.6,+1
3,2019-10-28,22-025,ORL,@,TOR,L (-9),1,33:03,7,10,.700,5,7,.714,5,5,1.000,0,7,7,0,3,2,1,3,24,24.1,-11
4,2019-10-30,22-027,ORL,,NYK,W (+12),1,31:40,4,6,.667,0,1,.000,2,2,1.000,1,6,7,4,0,3,2,0,10,12.8,+28
5,2019-11-01,22-029,ORL,,MIL,L (-32),1,28:34,3,11,.273,3,7,.429,2,2,1.000,1,4,5,1,2,1,0,1,11,9.4,-19
6,2019-11-02,22-030,ORL,,DEN,L (-4),1,35:42,3,13,.231,1,5,.200,0,0,,1,4,5,2,2,3,2,4,7,2.9,+2
7,2019-11-05,22-033,ORL,@,OKC,L (-8),1,31:10,5,9,.556,1,4,.250,2,2,1.000,4,6,10,0,0,3,1,2,13,13.6,-14
8,2019-11-06,22-034,ORL,@,DAL,L (-1),1,31:47,5,8,.625,1,2,.500,2,2,1.000,1,9,10,5,4,6,4,5,13,18.5,+15
9,2019-11-08,22-036,ORL,,MEM,W (+32),1,29:10,9,11,.818,1,3,.333,3,4,.750,1,7,8,0,1,4,1,3,22,21.9,+23
10,2019-11-10,22-038,ORL,,IND,L (-7),1,31:24,4,9,.444,2,4,.500,0,0,,0,3,3,2,0,2,3,0,10,6.0,-4
