game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,24-307,ORL,,CLE,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,24-310,ORL,@,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,24-312,ORL,@,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,24-314,ORL,,NYK,W (+12),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,24-316,ORL,,MIL,L (-32),0,12:44,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,2,0,2,-2.1,-22
,2019-11-02,24-317,ORL,,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,24-320,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-06,24-321,ORL,@,DAL,L (-1),0,6:46,0,4,.000,0,3,.000,2,4,.500,1,3,4,0,0,0,0,1,2,-0.4,-1
3,2019-11-08,24-323,ORL,,MEM,W (+32),0,8:27,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,0,0,-0.5,-6
,2019-11-10,24-325,ORL,,IND,L (-7),,,,,,,,,,,,,,,,,,,,,,
