game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,21-171,NOP,@,TOR,L (-8),0,13:51,3,6,.500,1,3,.333,2,2,1.000,0,0,0,1,0,0,1,3,9,4.5,+7
2,2019-10-25,21-174,NOP,,DAL,L (-7),0,14:47,4,9,.444,2,3,.667,0,0,,0,0,0,2,0,0,0,1,10,6.3,+7
3,2019-10-26,21-175,NOP,@,HOU,L (-3),0,18:05,3,9,.333,1,5,.200,2,2,1.000,1,1,2,2,1,0,2,2,9,4.5,-2
4,2019-10-28,21-177,NOP,,GSW,L (-11),0,23:19,4,11,.364,1,5,.200,0,0,,0,2,2,3,2,1,2,3,9,5.1,+5
5,2019-10-31,21-180,NOP,,DEN,W (+15),0,19:18,8,10,.800,4,6,.667,1,2,.500,0,3,3,0,1,0,1,2,21,16.9,+10
6,2019-11-02,21-182,NOP,@,OKC,L (-11),0,22:06,4,11,.364,0,3,.000,4,5,.800,0,0,0,1,0,0,1,1,12,4.8,-16
7,2019-11-04,21-184,NOP,@,BRK,L (-10),0,24:39,4,9,.444,1,2,.500,3,3,1.000,0,0,0,2,2,0,5,2,12,4.9,+4
8,2019-11-08,21-188,NOP,,TOR,L (-18),0,18:17,5,12,.417,2,5,.400,1,2,.500,2,0,2,1,1,0,2,3,13,6.1,-2
9,2019-11-09,21-189,NOP,@,CHO,W (+5),0,13:29,0,2,.000,0,2,.000,3,4,.750,0,0,0,2,1,0,1,2,3,1.8,-2
10,2019-11-11,21-191,NOP,,HOU,L (-6),0,13:24,1,8,.125,0,4,.000,0,0,,0,2,2,1,0,0,0,1,2,-2.3,-17
