game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,20-038,MEM,@,MIA,L (-19),1,29:56,5,12,.417,0,6,.000,7,9,.778,1,2,3,0,1,2,3,5,17,8.5,-11
2,2019-10-25,20-040,MEM,,CHI,L (-8),1,32:03,9,17,.529,1,3,.333,4,6,.667,4,7,11,2,1,1,4,3,23,16.7,-8
3,2019-10-27,20-042,MEM,,BRK,W (+1),1,23:44,4,8,.500,2,4,.500,2,2,1.000,2,4,6,1,0,2,0,6,12,10.3,-6
4,2019-10-29,20-044,MEM,@,LAL,L (-29),1,18:05,2,10,.200,1,3,.333,2,2,1.000,2,4,6,1,1,0,1,5,7,2.1,+11
5,2019-11-02,20-048,MEM,,PHO,L (-9),1,22:18,3,5,.600,1,3,.333,0,0,,1,0,1,0,0,3,4,4,7,1.9,-6
,2019-11-04,20-050,MEM,,HOU,L (-7),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-06,20-052,MEM,,MIN,W (+16),1,15:01,0,5,.000,0,2,.000,0,0,,0,4,4,2,0,0,2,3,0,-4.1,-22
7,2019-11-08,20-054,MEM,@,ORL,L (-32),1,29:59,6,12,.500,0,1,.000,2,2,1.000,0,5,5,1,0,0,2,3,14,7.0,-24
8,2019-11-09,20-055,MEM,,DAL,L (-16),1,29:33,10,17,.588,2,6,.333,1,2,.500,1,3,4,2,0,1,4,4,23,12.8,-8
9,2019-11-11,20-057,MEM,@,SAS,W (+4),1,37:31,10,17,.588,4,6,.667,0,0,,2,4,6,5,1,1,2,2,24,21.1,+12
