game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-209,DAL,,WAS,W (+8),0,18:38,4,6,.667,0,2,.000,2,2,1.000,0,4,4,2,0,0,0,1,10,9.6,+10
2,2019-10-25,24-211,DAL,@,NOP,W (+7),0,13:07,2,5,.400,1,2,.500,2,2,1.000,0,1,1,0,0,0,2,1,7,2.2,-3
3,2019-10-27,24-213,DAL,,POR,L (-2),0,18:11,1,6,.167,0,2,.000,1,2,.500,2,3,5,0,0,0,0,1,3,0.7,-9
4,2019-10-29,24-215,DAL,@,DEN,W (+3),0,19:16,4,4,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,0,0,10,9.5,-3
5,2019-11-01,24-218,DAL,,LAL,L (-9),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
6,2019-11-03,24-220,DAL,@,CLE,W (+20),0,5:41,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,3.3,-1
7,2019-11-06,24-223,DAL,,ORL,W (+1),0,16:40,4,6,.667,1,2,.500,2,2,1.000,1,5,6,0,0,0,2,5,11,6.6,+3
8,2019-11-08,24-225,DAL,,NYK,L (-4),0,7:38,1,5,.200,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,0.9,-13
9,2019-11-09,24-226,DAL,@,MEM,W (+16),0,25:27,6,10,.600,4,7,.571,1,2,.500,2,2,4,0,0,0,0,1,17,13.6,+13
10,2019-11-11,24-228,DAL,@,BOS,L (-10),0,7:36,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,-5
