game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,29-190,DET,@,IND,W (+9),1,20:21,2,3,.667,1,2,.500,0,0,,0,1,1,5,0,0,1,1,5,6.1,+2
2,2019-10-24,29-191,DET,,ATL,L (-17),1,15:25,2,8,.250,0,3,.000,1,1,1.000,1,3,4,3,0,0,0,1,5,3.5,-1
,2019-10-26,29-193,DET,,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,29-195,DET,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,29-197,DET,@,TOR,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,29-199,DET,@,CHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,29-200,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,29-202,DET,@,WAS,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,29-204,DET,,NYK,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,29-206,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,29-209,DET,,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
