game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,26-169,ORL,,CLE,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,26-172,ORL,@,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,26-174,ORL,@,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,26-176,ORL,,NYK,W (+12),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,26-178,ORL,,MIL,L (-32),0,5:36,2,2,1.000,0,0,,0,0,,1,0,1,2,0,0,1,0,4,4.5,-2
,2019-11-02,26-179,ORL,,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,26-182,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,26-183,ORL,@,DAL,L (-1),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-08,26-185,ORL,,MEM,W (+32),0,3:07,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+4
,2019-11-10,26-187,ORL,,IND,L (-7),,,,,,,,,,,,,,,,,,,,,,
