game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-184,IND,,DET,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,23-187,IND,@,CLE,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-189,IND,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-191,IND,@,BRK,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-193,IND,,CLE,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,23-195,IND,,CHI,W (+13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,23-197,IND,@,CHO,L (-2),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-06,23-198,IND,,WAS,W (+15),0,8:05,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-5
,2019-11-08,23-200,IND,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-10,23-202,IND,@,ORL,W (+7),0,9:39,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,0.6,+6
