game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,23-146,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,23-149,TOR,@,BOS,L (-6),0,5:01,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,2,3,0.8,-1
2,2019-10-26,23-150,TOR,@,CHI,W (+24),0,4:45,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,3,2,2,-0.8,-8
,2019-10-28,23-152,TOR,,ORL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-154,TOR,,DET,W (+12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,23-157,TOR,@,MIL,L (-10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-161,TOR,,SAC,W (+4),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-08,23-163,TOR,@,NOP,W (+18),0,1:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
4,2019-11-10,23-165,TOR,@,LAL,W (+9),0,2:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
,2019-11-11,23-166,TOR,@,LAC,L (-10),,,,,,,,,,,,,,,,,,,,,,
