game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-166,MEM,@,MIA,L (-19),0,24:03,6,12,.500,0,1,.000,3,5,.600,0,1,1,7,2,0,2,4,15,11.8,+6
2,2019-10-25,23-168,MEM,,CHI,L (-8),0,19:40,1,5,.200,0,3,.000,2,2,1.000,0,3,3,3,0,0,2,1,4,1.5,-6
3,2019-10-27,23-170,MEM,,BRK,W (+1),0,20:35,1,10,.100,1,3,.333,2,2,1.000,0,0,0,5,2,0,2,3,5,0.7,-9
4,2019-10-29,23-172,MEM,@,LAL,L (-29),0,16:20,2,4,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,4,3.4,-27
5,2019-11-02,23-176,MEM,,PHO,L (-9),0,22:10,3,7,.429,0,3,.000,0,3,.000,0,0,0,6,2,0,0,0,6,7.3,0
6,2019-11-04,23-178,MEM,,HOU,L (-7),0,25:21,4,9,.444,0,1,.000,2,2,1.000,0,5,5,4,3,0,1,0,10,11.6,-16
7,2019-11-06,23-180,MEM,,MIN,W (+16),0,23:44,3,6,.500,0,1,.000,2,2,1.000,0,1,1,5,1,0,1,1,8,8.4,+10
8,2019-11-08,23-182,MEM,@,ORL,L (-32),0,17:50,4,7,.571,1,2,.500,0,0,,0,0,0,6,1,0,3,2,9,7.1,-8
9,2019-11-09,23-183,MEM,,DAL,L (-16),1,27:50,6,8,.750,2,3,.667,0,1,.000,0,2,2,8,1,0,3,0,14,14.6,-14
10,2019-11-11,23-185,MEM,@,SAS,W (+4),0,23:04,3,10,.300,0,5,.000,2,2,1.000,0,1,1,6,0,0,1,2,8,4.9,+19
