game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,22-069,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-24,22-071,LAC,@,GSW,W (+19),0,4:06,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,3.3,-3
,2019-10-26,22-073,LAC,@,PHO,L (-8),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-28,22-075,LAC,,CHO,W (+15),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
3,2019-10-30,22-077,LAC,@,UTA,L (-14),0,1:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
,2019-10-31,22-078,LAC,,SAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,22-081,LAC,,UTA,W (+11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,22-084,LAC,,MIL,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,22-085,LAC,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,22-089,LAC,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
