game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,26-027,CHO,,CHI,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,26-029,CHO,,MIN,L (-22),0,10:05,2,7,.286,1,1,1.000,0,0,,1,3,4,0,0,0,1,1,5,1.1,-1
,2019-10-27,26-031,CHO,@,LAL,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,26-032,CHO,@,LAC,L (-15),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,26-034,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,26-037,CHO,@,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,26-040,CHO,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,26-042,CHO,,BOS,L (-21),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,26-044,CHO,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,26-045,CHO,@,PHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
