game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,27-219,UTA,,OKC,W (+5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,27-221,UTA,@,LAL,L (-9),0,4:39,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+7
2,2019-10-26,27-222,UTA,,SAC,W (+32),0,7:25,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,1,0,-3.2,-3
,2019-10-28,27-224,UTA,@,PHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
3,2019-10-30,27-226,UTA,,LAC,W (+14),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
,2019-11-01,27-228,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,27-230,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,27-233,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,27-235,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-11,27-238,UTA,@,GSW,W (+14),0,1:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3
