game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-267,DAL,,WAS,W (+8),1,23:34,0,1,.000,0,1,.000,0,0,,1,7,8,1,0,3,3,4,0,0.3,-3
2,2019-10-25,27-269,DAL,@,NOP,W (+7),0,33:21,2,6,.333,1,5,.200,3,4,.750,2,8,10,1,0,1,1,3,8,7.2,+9
3,2019-10-27,27-271,DAL,,POR,L (-2),1,24:31,5,10,.500,2,6,.333,2,2,1.000,2,4,6,3,0,1,1,4,14,11.8,+2
4,2019-10-29,27-273,DAL,@,DEN,W (+3),0,30:19,6,12,.500,1,4,.250,1,1,1.000,1,6,7,1,1,3,1,3,14,12.1,+1
5,2019-11-01,27-276,DAL,,LAL,L (-9),0,31:01,3,10,.300,2,5,.400,0,0,,3,5,8,0,0,0,1,2,8,4.0,-14
,2019-11-03,27-278,DAL,@,CLE,W (+20),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-06,27-281,DAL,,ORL,W (+1),0,19:54,4,6,.667,2,3,.667,4,4,1.000,0,3,3,2,0,0,0,2,14,12.9,+6
7,2019-11-08,27-283,DAL,,NYK,L (-4),0,29:29,3,6,.500,2,5,.400,0,0,,1,4,5,0,1,0,0,1,8,7.5,-2
8,2019-11-09,27-284,DAL,@,MEM,W (+16),1,23:33,4,7,.571,3,5,.600,0,0,,0,4,4,1,0,1,0,1,11,9.9,+2
9,2019-11-11,27-286,DAL,@,BOS,L (-10),1,32:44,4,10,.400,4,8,.500,3,4,.750,5,3,8,2,0,1,0,2,15,14.9,-13
