game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-215,MEM,@,MIA,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,23-217,MEM,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,23-219,MEM,,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,23-221,MEM,@,LAL,L (-29),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,23-225,MEM,,PHO,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,23-227,MEM,,HOU,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-229,MEM,,MIN,W (+16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-231,MEM,@,ORL,L (-32),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-09,23-232,MEM,,DAL,L (-16),0,6:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
,2019-11-11,23-234,MEM,@,SAS,W (+4),,,,,,,,,,,,,,,,,,,,,,
