game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-100,CHI,@,CHO,L (-1),0,6:49,0,3,.000,0,1,.000,0,0,,2,2,4,0,0,0,1,1,0,-1.5,-8
2,2019-10-25,24-102,CHI,@,MEM,W (+8),0,8:39,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,1,0,1,3,1.5,-4
3,2019-10-26,24-103,CHI,,TOR,L (-24),0,16:41,2,9,.222,1,5,.200,2,2,1.000,1,1,2,0,0,1,0,0,7,3.2,-1
4,2019-10-28,24-105,CHI,@,NYK,L (-7),0,16:10,1,3,.333,0,2,.000,0,0,,0,1,1,1,1,0,0,1,2,1.9,+1
5,2019-10-30,24-107,CHI,@,CLE,L (-6),0,18:44,4,6,.667,1,2,.500,0,0,,1,1,2,2,0,2,1,1,9,8.8,-3
6,2019-11-01,24-109,CHI,,DET,W (+6),0,10:00,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,0,2,2,0.5,-5
7,2019-11-03,24-111,CHI,@,IND,L (-13),0,10:07,3,4,.750,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,2,9,8.3,-5
8,2019-11-05,24-113,CHI,,LAL,L (-6),0,16:43,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,2,1,1,3,0.5,+10
9,2019-11-06,24-114,CHI,@,ATL,W (+20),0,6:25,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,1,0,1,3,2.9,-1
10,2019-11-09,24-117,CHI,,HOU,L (-23),0,5:33,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,-9
