game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,38-221,MIL,@,HOU,W (+6),0,15:14,2,4,.500,1,3,.333,0,0,,1,5,6,1,1,0,1,1,5,5.5,+8
2,2019-10-26,38-223,MIL,,MIA,L (-5),0,17:41,4,11,.364,4,9,.444,2,2,1.000,1,0,1,0,0,0,1,2,14,6.8,0
3,2019-10-28,38-225,MIL,,CLE,W (+17),0,18:05,3,3,1.000,3,3,1.000,0,0,,0,1,1,0,0,1,1,1,9,7.7,-1
4,2019-10-30,38-227,MIL,@,BOS,L (-11),0,16:22,3,6,.500,2,5,.400,1,2,.500,0,0,0,0,1,0,2,0,9,4.6,-4
,2019-11-01,38-229,MIL,@,ORL,W (+32),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-02,38-230,MIL,,TOR,W (+10),0,15:30,2,5,.400,2,4,.500,0,0,,1,0,1,0,0,0,0,2,6,3.2,-1
6,2019-11-04,38-232,MIL,@,MIN,W (+28),0,17:09,1,5,.200,1,4,.250,0,1,.000,0,2,2,0,0,0,1,0,3,-0.9,+13
7,2019-11-06,38-234,MIL,@,LAC,W (+5),0,15:35,5,9,.556,4,7,.571,0,0,,0,1,1,0,0,0,0,1,14,9.6,+8
8,2019-11-08,38-236,MIL,@,UTA,L (-3),0,11:15,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-1.5,-3
,2019-11-10,38-238,MIL,@,OKC,W (+2),,,,,,,,,,,,,,,,,,,,,,
