game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-219,POR,,DEN,L (-8),0,10:44,3,4,.750,0,0,,2,2,1.000,2,4,6,1,0,0,2,1,8,7.3,-3
2,2019-10-25,23-221,POR,@,SAC,W (+10),0,6:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-1.4,-7
3,2019-10-27,23-223,POR,@,DAL,W (+2),0,5:34,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,2,4,3.6,+7
4,2019-10-28,23-224,POR,@,SAS,L (-3),0,12:55,4,5,.800,0,0,,2,4,.500,6,0,6,0,0,1,1,3,10,10.0,-6
5,2019-10-30,23-226,POR,@,OKC,W (+3),0,21:02,2,5,.400,0,0,,3,4,.750,2,2,4,1,1,2,3,4,7,4.4,+13
6,2019-11-02,23-229,POR,,PHI,L (-1),0,22:43,7,9,.778,0,0,,1,2,.500,1,3,4,2,0,1,1,4,15,12.2,+3
7,2019-11-04,23-231,POR,@,GSW,L (-9),0,15:25,2,8,.250,0,1,.000,0,0,,4,1,5,1,0,2,0,3,4,3.2,+3
8,2019-11-07,23-234,POR,@,LAC,L (-6),0,20:02,2,3,.667,0,0,,0,0,,1,2,3,1,0,1,1,5,4,2.4,0
9,2019-11-08,23-235,POR,,BRK,L (-4),0,8:41,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,2,5,2,-1.6,0
10,2019-11-10,23-237,POR,,ATL,W (+11),0,17:06,0,3,.000,0,0,,1,2,.500,2,4,6,2,0,1,0,1,1,2.8,0
