game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-146,IND,,DET,L (-9),1,25:52,4,11,.364,0,2,.000,2,3,.667,1,3,4,3,1,0,2,4,10,4.6,-6
,2019-10-26,27-149,IND,@,CLE,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,27-151,IND,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-30,27-153,IND,@,BRK,W (+10),1,34:10,11,19,.579,3,7,.429,0,2,.000,3,4,7,0,1,0,2,3,25,16.4,+7
3,2019-11-01,27-155,IND,,CLE,W (+7),1,34:51,7,13,.538,1,5,.200,6,6,1.000,1,9,10,1,2,1,1,3,21,19.3,-7
4,2019-11-03,27-157,IND,,CHI,W (+13),1,31:45,1,6,.167,0,2,.000,9,9,1.000,0,6,6,5,1,3,1,3,11,13.4,+12
5,2019-11-05,27-159,IND,@,CHO,L (-2),1,37:58,8,19,.421,2,5,.400,0,0,,0,5,5,2,2,0,0,1,18,12.4,+7
,2019-11-06,27-160,IND,,WAS,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,27-162,IND,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,27-164,IND,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
