game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-227,CHI,@,CHO,L (-1),1,30:00,7,17,.412,1,4,.250,1,1,1.000,3,3,6,7,2,1,5,3,16,11.3,-8
2,2019-10-25,24-229,CHI,@,MEM,W (+8),1,33:22,13,23,.565,4,8,.500,7,10,.700,1,5,6,4,3,1,2,4,37,30.0,+12
3,2019-10-26,24-230,CHI,,TOR,L (-24),1,30:15,4,13,.308,1,4,.250,2,3,.667,1,0,1,4,0,0,2,2,11,3.8,-25
4,2019-10-28,24-232,CHI,@,NYK,L (-7),1,35:36,8,18,.444,2,7,.286,3,4,.750,1,4,5,3,1,1,4,2,21,12.1,-8
5,2019-10-30,24-234,CHI,@,CLE,L (-6),1,31:54,6,14,.429,4,8,.500,0,0,,0,0,0,2,1,0,1,3,16,8.8,-6
6,2019-11-01,24-236,CHI,,DET,W (+6),1,32:14,8,20,.400,3,9,.333,7,8,.875,2,3,5,3,0,0,6,3,26,12.0,+10
7,2019-11-03,24-238,CHI,@,IND,L (-13),1,31:52,8,19,.421,4,8,.500,1,2,.500,1,4,5,2,0,0,3,1,21,10.4,-10
8,2019-11-05,24-240,CHI,,LAL,L (-6),1,33:31,9,18,.500,3,7,.429,5,7,.714,1,6,7,7,2,0,3,3,26,21.4,-14
9,2019-11-06,24-241,CHI,@,ATL,W (+20),1,30:54,4,10,.400,0,2,.000,2,2,1.000,2,6,8,4,2,2,4,2,10,9.2,+24
10,2019-11-09,24-244,CHI,,HOU,L (-23),1,32:06,5,17,.294,1,7,.143,0,0,,1,0,1,5,2,1,4,3,11,2.8,-20
