game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,22-176,IND,,DET,L (-9),0,3:22,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
2,2019-10-26,22-179,IND,@,CLE,L (-11),0,18:03,1,5,.200,1,2,.500,2,2,1.000,2,1,3,2,0,0,2,2,5,2.2,+11
3,2019-10-28,22-181,IND,@,DET,L (-2),0,11:56,3,5,.600,0,0,,0,0,,1,2,3,0,0,0,0,1,6,4.6,-7
,2019-10-30,22-183,IND,@,BRK,W (+10),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-01,22-185,IND,,CLE,W (+7),1,8:03,0,4,.000,0,2,.000,0,0,,1,2,3,0,1,0,0,2,0,-1.3,-5
5,2019-11-03,22-187,IND,,CHI,W (+13),0,21:46,6,13,.462,1,2,.500,0,0,,6,9,15,1,1,1,2,2,13,12.8,+6
6,2019-11-05,22-189,IND,@,CHO,L (-2),0,14:28,0,1,.000,0,0,,0,0,,1,2,3,1,1,0,1,6,0,-1.1,-7
,2019-11-06,22-190,IND,,WAS,W (+15),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-08,22-192,IND,,DET,W (+6),0,8:57,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,0
8,2019-11-10,22-194,IND,@,ORL,W (+7),0,10:28,1,5,.200,0,0,,0,0,,2,2,4,0,0,1,0,0,2,1.6,+2
