game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,34-020,DAL,,WAS,W (+8),1,16:02,2,5,.400,0,3,.000,0,0,,0,1,1,0,0,0,0,2,4,0.8,-4
2,2019-10-25,34-022,DAL,@,NOP,W (+7),1,5:44,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-9
,2019-10-27,34-024,DAL,,POR,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,34-026,DAL,@,DEN,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,34-029,DAL,,LAL,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,34-031,DAL,@,CLE,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,34-034,DAL,,ORL,W (+1),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-08,34-036,DAL,,NYK,L (-4),1,4:39,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+4
,2019-11-09,34-037,DAL,@,MEM,W (+16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,34-039,DAL,@,BOS,L (-10),,,,,,,,,,,,,,,,,,,,,,
