game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,29-100,POR,,DEN,L (-8),1,37:49,10,21,.476,3,10,.300,9,10,.900,1,3,4,8,1,0,3,3,32,24.9,0
2,2019-10-25,29-102,POR,@,SAC,W (+10),1,34:02,12,20,.600,3,7,.429,8,8,1.000,0,5,5,5,3,0,3,4,35,29.2,+23
3,2019-10-27,29-104,POR,@,DAL,W (+2),1,38:24,10,20,.500,1,7,.143,7,9,.778,0,3,3,5,1,1,2,3,28,20.1,-1
4,2019-10-28,29-105,POR,@,SAS,L (-3),1,38:48,9,28,.321,3,10,.300,7,8,.875,0,9,9,7,0,2,1,3,28,18.4,+4
5,2019-10-30,29-107,POR,@,OKC,W (+3),1,38:12,7,19,.368,4,9,.444,5,6,.833,1,6,7,13,2,0,1,2,23,23.9,+9
6,2019-11-02,29-110,POR,,PHI,L (-1),1,39:04,11,16,.688,8,11,.727,3,3,1.000,0,5,5,9,2,0,7,1,33,28.6,+7
7,2019-11-04,29-112,POR,@,GSW,L (-9),1,37:18,15,26,.577,5,13,.385,4,4,1.000,1,1,2,4,0,1,1,0,39,30.3,-11
8,2019-11-07,29-115,POR,@,LAC,L (-6),1,38:08,9,23,.391,3,10,.300,1,2,.500,1,5,6,6,3,0,3,2,22,14.7,-3
9,2019-11-08,29-116,POR,,BRK,L (-4),1,40:21,19,33,.576,7,16,.438,15,15,1.000,0,4,4,5,0,0,2,1,60,46.8,+4
10,2019-11-10,29-118,POR,,ATL,W (+11),1,44:16,8,17,.471,3,9,.333,11,12,.917,1,6,7,6,1,1,4,2,30,24.5,+7
