game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,19-254,POR,,DEN,L (-8),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,19-256,POR,@,SAC,W (+10),0,2:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
,2019-10-27,19-258,POR,@,DAL,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,19-259,POR,@,SAS,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,19-261,POR,@,OKC,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,19-264,POR,,PHI,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,19-266,POR,@,GSW,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,19-269,POR,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-08,19-270,POR,,BRK,L (-4),0,18:44,3,5,.600,0,0,,2,2,1.000,1,2,3,0,1,1,0,4,8,7.1,-1
3,2019-11-10,19-272,POR,,ATL,W (+11),0,6:36,0,3,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-1.5,+2
