game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,23-260,GSW,,LAC,L (-19),1,10:27,1,4,.250,1,1,1.000,0,0,,5,4,9,1,0,0,1,3,3,3.8,-4
,2019-10-27,23-263,GSW,@,OKC,L (-28),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-264,GSW,@,NOP,W (+11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-266,GSW,,PHO,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-268,GSW,,SAS,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,23-269,GSW,,CHO,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,23-271,GSW,,POR,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-273,GSW,@,HOU,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-275,GSW,@,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,23-276,GSW,@,OKC,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,23-278,GSW,,UTA,L (-14),,,,,,,,,,,,,,,,,,,,,,
