game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,31-206,MIL,@,HOU,W (+6),1,26:53,4,9,.444,1,3,.333,2,2,1.000,0,2,2,3,0,5,0,2,11,11.7,+5
2,2019-10-26,31-208,MIL,,MIA,L (-5),1,34:39,2,9,.222,2,8,.250,6,6,1.000,0,7,7,1,0,1,2,1,12,7.6,+4
3,2019-10-28,31-210,MIL,,CLE,W (+17),1,27:36,5,9,.556,3,7,.429,3,3,1.000,0,5,5,1,3,2,1,2,16,16.5,+6
4,2019-10-30,31-212,MIL,@,BOS,L (-11),1,26:54,2,8,.250,1,5,.200,5,6,.833,0,3,3,2,0,2,4,3,10,3.3,-5
5,2019-11-01,31-214,MIL,@,ORL,W (+32),1,25:15,1,7,.143,1,6,.167,0,0,,0,0,0,1,0,0,0,2,3,-1.6,+18
6,2019-11-02,31-215,MIL,,TOR,W (+10),1,26:16,4,11,.364,3,7,.429,0,0,,0,4,4,2,0,1,1,2,11,6.4,+12
7,2019-11-04,31-217,MIL,@,MIN,W (+28),1,25:40,4,6,.667,1,3,.333,0,0,,1,1,2,2,1,3,0,3,9,10.7,+18
8,2019-11-06,31-219,MIL,@,LAC,W (+5),1,32:02,4,12,.333,0,3,.000,3,4,.750,3,9,12,3,1,6,3,2,11,12.1,+9
9,2019-11-08,31-221,MIL,@,UTA,L (-3),1,16:35,2,6,.333,1,5,.200,0,0,,1,3,4,1,1,0,0,5,5,2.9,+6
10,2019-11-10,31-223,MIL,@,OKC,W (+2),1,30:46,6,11,.545,3,7,.429,0,0,,0,4,4,0,0,2,1,5,15,9.3,+15
